seasonId,season,shortened,n_eval,n_train,best_iteration,mae,rmse,r2,mae_baseline,directional_accuracy,top_features,arm
19901991,1990-91,,394,1592,61,0.15726978559445132,0.2171578755943952,0.5737139483583253,0.18239353172213846,0.6878172588832487,"ppg_last1, ppg_rolling_3yr, career_ppg, gpg_last1, age_sq",rolling_5yr
19911992,1991-92,,421,2138,44,0.1538539266339052,0.20229824287692286,0.6323118193728872,0.17336082904348343,0.6817102137767221,"ppg_last1, ppg_rolling_3yr, career_ppg, gpg_last1, age",rolling_5yr
19921993,1992-93,,439,2684,87,0.16325502050090832,0.22444228077637254,0.6418302742989064,0.18037469941126824,0.6355353075170843,"ppg_rolling_3yr, ppg_last1, career_ppg, age, age_sq",rolling_5yr
19931994,1993-94,,481,2783,115,0.14181734184820416,0.18709932567179854,0.6684775656694604,0.17382399821606065,0.7006237006237006,"ppg_last1, ppg_rolling_3yr, career_ppg, age_sq, age",rolling_5yr
19941995,1994-95,lockout (48 games),461,2844,53,0.14780030210948084,0.1896858672865634,0.5790047626718634,0.19185641867951003,0.7158351409978309,"ppg_rolling_3yr, ppg_last1, career_ppg, age_sq, gpg_last1",rolling_5yr
19951996,1995-96,,489,2942,38,0.14876710410020016,0.19487488050543567,0.646934873050857,0.16755131457603414,0.6380368098159509,"ppg_rolling_3yr, ppg_last1, career_ppg, age_sq, ppg_last2",rolling_5yr
19961997,1996-97,,488,3035,79,0.12603413773911532,0.1702102630353304,0.6478366946948406,0.16551929671032398,0.7274590163934426,"ppg_rolling_3yr, ppg_last1, career_ppg, age_sq, age",rolling_5yr
19971998,1997-98,,497,3135,134,0.1139250903237654,0.1531103173320639,0.6643896419067421,0.16674306976657494,0.7002012072434608,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
19981999,1998-99,,513,3206,75,0.1231242855206413,0.15812765251473979,0.6675202923643703,0.14430168446260463,0.695906432748538,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
19992000,1999-00,,534,3255,108,0.11989695912035436,0.16190798488614966,0.6373442117595958,0.13087343461505202,0.6292134831460674,"ppg_rolling_3yr, career_ppg, ppg_last1, gpg_last1, age_sq",rolling_5yr
20002001,2000-01,,543,3307,91,0.1369331879028365,0.1859708301531024,0.5797991557124647,0.14841025150088244,0.6482504604051565,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
20012002,2001-02,,551,3384,127,0.11430322738141918,0.15110649979345087,0.6553881565172839,0.1351162726278583,0.6842105263157895,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
20022003,2002-03,,575,3477,75,0.11806549832666847,0.15785003005684603,0.6463581839365995,0.142916737696546,0.7217391304347827,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
20032004,2003-04,,572,3566,77,0.11792130254907997,0.15187384243116436,0.630889731293961,0.14387535232054263,0.7377622377622378,"ppg_rolling_3yr, ppg_last1, career_ppg, ppg_last2, gpg_last1",rolling_5yr
20052006,2005-06,,515,3680,58,0.14750316664349064,0.19939577420716356,0.5546948825118521,0.16041787545757646,0.6349514563106796,"ppg_rolling_3yr, ppg_last1, age_x_ppg_last1, gpg_last1, age_sq",rolling_5yr
20062007,2006-07,,485,3750,76,0.1527749902906364,0.20366039781865486,0.5097019009834995,0.17151977017903391,0.6350515463917525,"ppg_rolling_3yr, ppg_last1, gpg_last1, career_ppg, age_sq",rolling_5yr
20072008,2007-08,,542,3710,102,0.12547930617302663,0.16407802163793925,0.6517177695730125,0.15643999456976754,0.7140221402214022,"ppg_rolling_3yr, ppg_last1, career_ppg, gpg_last1, age_sq",rolling_5yr
20082009,2008-09,,537,3695,116,0.13035636581366875,0.17470649257552393,0.5990508863533388,0.15545530907951857,0.7001862197392924,"ppg_rolling_3yr, ppg_last1, ppg_last2, career_ppg, gpg_last1",rolling_5yr
20092010,2009-10,,558,3650,66,0.11604896373137079,0.15322045485663593,0.6735598569114158,0.13775467289627713,0.6487455197132617,"ppg_rolling_3yr, ppg_last1, career_ppg, gpg_last1, ppg_last2",rolling_5yr
20102011,2010-11,,564,3610,69,0.11819952051301429,0.15355597491318643,0.6543548112070157,0.14626761624512088,0.6932624113475178,"ppg_rolling_3yr, ppg_last1, career_ppg, gpg_last1, age_sq",rolling_5yr
20112012,2011-12,,567,3593,62,0.11847313691334165,0.1580148883195434,0.6247682001817334,0.1522057323895188,0.708994708994709,"ppg_last1, ppg_rolling_3yr, career_ppg, gpg_last1, career_gp",rolling_5yr
20122013,2012-13,lockout (48 games),532,3674,62,0.1271684833400713,0.1597115119916208,0.6484595514233493,0.14889437232207692,0.6541353383458647,"ppg_rolling_3yr, ppg_last1, gpg_last1, career_ppg, age",rolling_5yr
20132014,2013-14,,563,3716,76,0.1150271474072503,0.14569281194861744,0.6655459449885563,0.13611809762720178,0.6998223801065719,"ppg_last1, ppg_rolling_3yr, career_ppg, gpg_last1, age_sq",rolling_5yr
20142015,2014-15,,563,3728,73,0.11779863975094154,0.15597446165267476,0.5540820453694677,0.16116803073187055,0.7353463587921847,"ppg_last1, ppg_rolling_3yr, career_ppg, gpg_last1, ppg_last2",rolling_5yr
20152016,2015-16,,556,3746,63,0.11079579067637925,0.14519134239059103,0.6328834415524855,0.13211162448774325,0.6996402877697842,"ppg_rolling_3yr, ppg_last1, career_ppg, gpg_last1, ppg_last2",rolling_5yr
20162017,2016-17,,527,3743,72,0.10975053852263798,0.14094349503056047,0.6464022116975108,0.1409575694235779,0.6888045540796964,"ppg_rolling_3yr, career_ppg, ppg_last1, ppg_last2, age_sq",rolling_5yr
20172018,2017-18,,565,3732,91,0.11948877740377811,0.16282285193947135,0.6157117983813927,0.14426379879686424,0.6814159292035398,"ppg_rolling_3yr, ppg_last1, career_ppg, age_sq, age",rolling_5yr
20182019,2018-19,,572,3693,133,0.13780877440067738,0.18596877372822604,0.5633287099197672,0.15808525251602115,0.6643356643356644,"ppg_rolling_3yr, ppg_last1, career_ppg, age_sq, age",rolling_5yr
